Nome: PORTO ALEGRE- BELEM NOVO
Codigo Estacao: B807
Latitude: -30.1861111
Longitude: -51.17805554
Altitude: 3.3
Situacao: Operante
Data Inicial: 2022-12-07
Data Final: 2024-04-09
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2022-12-10;0600;0;1006,6;1007,165827;1006,8;1006,4;0;20;18,8;18;19,5;18,3;18,9;16,7;12,4;97;88;95;288;1,2;,2;
2022-12-10;0700;0;1006,9;1007,464256;1006,9;1006,4;0;20;19,7;19,3;19,7;18,6;19,3;17,9;12,4;98;95;98;347;1,6;,4;
2022-12-10;0800;0;1007,4;1007,964729;1007,4;1006,9;0;20;19,6;19,3;19,7;19,2;19,4;18,9;12,4;98;98;98;61;1,4;,7;
2022-12-10;0900;0;1007,9;1008,464623;1007,9;1007,4;104,514;20;19,8;19,5;19,8;19,1;19,5;18,7;12,6;98;98;98;61;1,5;,5;
2022-12-10;1000;0;1008,3;1008,859498;1008,4;1007,9;721,377;22;22,6;20,8;22,6;19,8;20,8;19,5;13,2;98;88;89;29;1,6;,9;
2022-12-10;1100;0;1008,5;1009,054174;1008,8;1008,3;1446,387;25;25,5;20,7;25,5;22,5;21,3;20,3;14,2;89;75;75;192;1,8;,7;
2022-12-10;1200;0;1008,5;1009,051955;1008,7;1008,5;2328,02;28;26,7;21,3;27;25,5;22;19,3;14,2;77;64;73;224;3,9;2,2;
2022-12-10;1300;0;1008,2;1008,749044;1008,5;1008,2;2928,687;29;28,2;21,6;28,4;26,5;23;21,4;14,2;78;67;68;185;5,1;2,5;
2022-12-10;1400;0;1007,9;1008,447789;1008,2;1007,9;2503,501;30;28,8;21,1;29,3;27,6;22,2;19,3;14,2;70;60;63;183;5;3,4;
2022-12-10;1500;0;1008,6;1009,147807;1008,6;1007,9;3416,742;31;29;22;30,1;28,6;22,8;19,7;14,2;70;55;66;179;7;4;
2022-12-10;1600;0;1008,3;1008,847644;1008,6;1008,2;2905,47;32;29;22,6;29,9;28,5;23,2;21,4;14,2;69;63;68;154;7,4;4,6;
2022-12-10;1700;0;1008;1008,548207;1008,6;1008;2667,71;32;28,6;22,7;29,5;28,4;23,4;21,7;14,2;72;65;70;154;7,5;4,3;
2022-12-10;1800;0;1007,9;1008,447789;1008;1007,8;2643,238;32;28,8;22,8;29,2;28,3;23,3;22,3;14,2;73;68;70;170;8,3;5,2;
2022-12-10;1900;0;1007,7;1008,25005;1007,8;1007,5;1929,902;31;27,5;21,1;29,3;27,5;23;20,7;14,2;70;64;68;162;9,5;5,2;
2022-12-10;2000;0;1008,1;1008,649719;1008,1;1007,5;1456,425;31;27,8;22,4;28,3;27,3;22,6;21,2;13,7;72;67;72;166;8,2;4,3;
2022-12-10;2100;0;1008,3;1008,85056;1008,4;1008,1;692,48;30;27,4;23,1;27,8;27,2;23,4;22,3;13,5;79;72;77;139;7,5;3,3;
2022-12-10;2200;0;1009;1009,553152;1009;1008,2;217,978;29;26,2;22,4;27,4;26,2;23;22,3;12,9;79;76;79;104;6,5;3;
2022-12-10;2300;0;1009,5;1010,05584;1009,5;1009;10,683;27;24,9;21,9;26,3;24,9;22,3;21,9;12,6;83;78;83;98;6,4;3,2;
2022-12-11;0000;0;1009,8;1010,35769;1009,8;1009,3;0;26;24;21,3;25;24;21,9;21,3;12,6;86;83;85;144;7,4;1,8;
2022-12-11;0100;0;1010;1010,558929;1010;1009,7;0;25;23,4;20,9;24;23,2;21,4;20,7;12,5;87;84;86;143;3,8;1,1;
2022-12-11;0200;0;1010,6;1011,158132;1010,7;1010;0;25;24;20,9;24,1;23,3;21;20,7;12,5;86;82;83;99;4,4;2,5;
2022-12-11;0300;0;1010,7;1011,258375;1010,8;1010,6;0;25;23,9;20,8;24,2;23,8;21;20,6;12,5;84;80;83;100;4,6;1,8;
2022-12-11;0400;0;1010,2;1010,758287;1010,8;1010,2;0;25;23,8;20,9;23,9;23,7;21;20,8;12,5;85;83;84;119;3,4;1,5;
2022-12-11;0500;0;1009,9;1010,458309;1010,2;1009,9;0;25;23,7;20,8;23,8;23,6;21;20,7;12,5;85;83;84;124;3,8;2,1;
2022-12-11;0600;0;1009,7;1010,258575;1009,9;1009,6;0;25;23,5;21,3;23,8;23,4;21,3;20,7;12,5;87;83;87;117;5,1;2,3;
2022-12-11;0700;0;1009,6;1010,158331;1009,8;1009,6;0;24;23,6;21,4;23,6;23,4;21,4;21,2;12,5;88;87;88;106;4,4;2,4;
2022-12-11;0800;0;1009,7;1010,259329;1009,8;1009,6;0;24;23,1;21,2;23,5;23,1;21,4;21,2;12,4;89;88;89;100;5,5;2,7;
2022-12-11;0900;0;1009,8;1010,359574;1009,9;1009,6;83,678;24;23;21,3;23,2;22,7;21,3;21;12,6;91;89;90;96;4,6;2,4;
2022-12-11;1000;0;1010,5;1011,057326;1010,5;1009,8;450,727;24;24,4;21,2;24,4;23;21,8;20,9;13;90;82;83;88;4,1;1,6;
2022-12-11;1100;0;1010,7;1011,255011;1011;1010,5;1377,834;26;25,7;20,3;26,4;24,4;21,6;20,3;14,1;83;72;72;94;5,2;2,2;
2022-12-11;1200;0;1010;1010,553515;1010,7;1010;2114,448;28;26,3;20,3;27;25,6;21,1;20,1;13,8;75;67;70;69;5,6;2,2;
2022-12-11;1300;0;1010;1010,550572;1010;1009,9;1570,098;29;27,9;20,3;28,3;26,3;21,1;20,1;14,2;72;63;63;57;4;1,3;
2022-12-11;1400;0;1009,1;1009,648442;1010;1009,1;2749,741;31;28,8;21,8;29,7;27,5;21,8;19,6;14,2;66;56;66;212;6,1;3,3;
2022-12-11;1500;0;1008;1008,547844;1009,1;1008;3628,724;31;28,8;22,4;29,1;27,5;22,5;20,5;14,2;70;62;68;196;6,8;4,6;
2022-12-11;1600;0;1007,4;1007,94571;1008;1007,4;3831,254;32;29,8;21,7;30,2;28,4;22,6;21;14,2;69;60;62;205;6,8;4,1;
2022-12-11;1700;0;1006,7;1007,243715;1007,4;1006,6;3660,574;33;30,7;21,8;31;29,4;22,9;21,5;14,2;64;59;59;176;8;4,1;
2022-12-11;1800;0;1005,7;1006,242996;1006,7;1005,7;3316,148;33;30,8;22;30,9;30,1;22,4;21,3;14,2;61;58;60;178;8,4;5;
2022-12-11;1900;0;1004,3;1004,841884;1005,7;1004,3;2719,228;34;31;22,3;31,4;30,3;22,8;21,8;14,1;62;59;60;155;8,6;5,2;
2022-12-11;2000;0;1003,3;1003,840633;1004,3;1003,3;1983,13;33;31,4;21,8;31,8;30,5;22,5;21,2;13,5;61;54;57;100;9,4;4;
2022-12-11;2100;0;1003,4;1003,943723;1003,4;1003,2;1178,776;33;29,7;20,7;31,4;29,7;21,8;20,7;13,2;60;56;59;91;7,1;4,1;
2022-12-11;2200;0;1003,5;1004,047939;1003,6;1003,4;402,372;31;27,4;20,9;29,7;27,4;21;20,5;12,8;68;59;68;66;6,8;2,7;
2022-12-11;2300;0;1004,2;1004,751626;1004,2;1003,5;11,72;29;25,6;20,9;27,4;25,6;21,1;20,8;12,6;76;68;76;54;7,4;1,8;
2022-12-12;0000;0;1004,3;1004,854093;1004,4;1004;0;27;24,3;21,3;25,6;24,3;21,3;20,9;12,6;83;76;83;26;4,7;2,6;
2022-12-12;0100;0;1004,1;1004,655852;1004,4;1004;0;25;23,3;21,2;24,3;23,3;21,3;21,1;12,5;88;83;88;355;4,6;,8;
2022-12-12;0200;0;1003,9;1004,458379;1004,3;1003,9;0;24;21,9;20,8;23,3;21,3;21,2;19,9;12,5;94;87;93;355;2,1;1;
2022-12-12;0300;0;1002,6;1003,157845;1003,9;1002,6;0;23;21,8;20,7;22,3;21,6;21;20,4;12,5;94;91;93;37;3;1,6;
2022-12-12;0400;0;1002,7;1003,259608;1002,9;1002,6;0;22;20,9;20,3;21,8;20,6;20,7;19,7;12,5;97;92;96;32;3;,6;
2022-12-12;0500;0;1002,1;1002,660417;1002,7;1001,8;0;22;20,3;19,7;20,9;20,2;20,2;19,6;12,5;97;95;96;75;2,1;,6;
2022-12-12;0600;0;1001,6;1002,160711;1002,1;1001,6;0;21;20;19,5;20,4;19,9;19,8;19,3;12,4;97;96;96;27;1,8;,9;
2022-12-12;0700;0;1001,1;1001,659286;1001,6;1001,1;0;21;20,6;19,7;20,7;20;19,9;19,4;12,4;97;94;94;8;3,5;1,3;
2022-12-12;0800;0;1001,4;1001,960026;1001,4;1001;0;21;20,3;19,8;20,7;19,9;19,9;19,2;12,4;97;94;97;73;2,6;,9;
2022-12-12;0900;0;1001,5;1002,056666;1001,6;1001,4;128,349;21;22,1;20,5;22,2;20,1;20,7;19,3;12,5;97;90;91;59;3;,6;
2022-12-12;1000;0;1001,9;1002,44981;1001,9;1001,5;790,357;23;25,9;21,4;25,9;22;21,7;20,5;13,1;93;76;76;333;5;1,4;
2022-12-12;1100;0;1001,7;1002,246411;1002,1;1001,7;1604,023;26;27,7;21,8;27,7;25,7;22,1;20,9;14;79;68;70;328;5,7;1,8;
2022-12-12;1200;0;1001,3;1001,843662;1001,7;1001,2;2307,658;29;29,1;20,6;29,5;27,7;22,1;20,2;14,2;70;59;60;298;8,7;4,6;
2022-12-12;1300;0;1001,5;1002,040018;1001,5;1001,2;2968,308;31;31,2;20,1;31,3;29,1;21,2;20,1;14,2;60;52;52;289;9,9;4;
2022-12-12;1400;0;1001,3;1001,835685;1001,6;1001,2;3458,218;33;33,6;20,2;34,2;31,2;21,2;19,7;14,1;52;45;46;288;9,8;4,3;
2022-12-12;1500;0;1000,5;1001,032824;1001,3;1000,5;3759,209;35;35;19,6;35,5;33,4;21,4;19;14,1;47;40;41;286;10,4;4,2;
2022-12-12;1600;0;999,3;999,829094;1000,5;999,2;3826,098;37;36,8;19,7;37;35;20,6;19,1;14,1;41;36;37;285;10,2;3,7;
2022-12-12;1700;0;1000,2;1000,744687;1001;999,3;2325,366;34;28,2;21,5;37,3;27,3;23,6;19,3;14,2;75;36;67;157;16,5;8,1;
2022-12-12;1800;0;1001,9;1002,448343;1001,9;1000,1;2773,445;31;26,7;20,9;28,7;26,7;21,9;20,3;13,4;71;63;71;179;16,5;6,7;
2022-12-12;1900;,2;1001,7;1002,251731;1002,3;1000,5;224,338;28;24,8;21,5;26,7;24,5;22,2;20,9;12,9;86;71;82;133;11,3;2,2;
2022-12-12;2000;,4;1003,2;1003,754979;1003,2;1000,3;251,066;26;23,5;16,2;24,8;23,5;22,2;16,2;13,1;88;63;64;182;15;7,3;
2022-12-12;2100;0;1003,9;1004,460851;1004,2;1002,8;107,454;24;20,6;17,1;23,9;20,6;17,8;15,7;12,7;82;60;80;148;16,9;5,8;
2022-12-12;2200;3;1004;1004,563786;1005,2;1003,9;2,533;22;19,1;15,9;20,6;19;17,2;15,9;12,6;88;79;82;126;9,1;4;
2022-12-12;2300;,4;1004,8;1005,363464;1004,8;1003,6;3,472;20;19,5;16,6;19,5;18,7;16,6;15,3;12,5;84;80;83;139;8,5;1,2;
2022-12-13;0000;2,6;1007;1007,567218;1007,2;1004,8;0;20;18,2;17,1;20,3;17,9;17,5;14,3;12,5;94;69;93;20;5,2;1;
2022-12-13;0100;0;1007,4;1007,967443;1007,5;1006,5;0;20;18,2;17,3;18,4;17,9;17,4;16,5;12,5;95;90;95;346;2,7;1,4;
2022-12-13;0200;0;1008;1008,567976;1008,2;1007,3;0;19;18,1;17,2;18,3;18,1;17,5;16,7;12,5;95;91;94;79;2,5;,9;
2022-12-13;0300;0;1008;1008,56642;1009;1007,3;0;19;18,9;17,1;18,9;18;17,5;17;12,5;95;90;90;318;3,3;1,1;
2022-12-13;0400;,2;1006,9;1007,465608;1008,2;1006,9;0;20;19;17,8;19,2;18,5;17,8;17,2;12,5;95;90;92;7;3,1;1,3;
2022-12-13;0500;0;1006,8;1007,36594;1007,2;1006,7;0;20;18,8;17,5;19,1;18,7;18,2;17,5;12,4;95;91;92;34;2,5;,8;
2022-12-13;0600;0;1006,5;1007,068107;1006,9;1006,5;0;19;17,6;16,1;20,1;17,6;17,7;15,8;12,4;95;76;91;260;4,5;,5;
2022-12-13;0700;0;1006,4;1006,965521;1006,6;1006,4;0;19;18,9;13,7;19,2;17,6;16,4;13,7;12,4;92;72;72;234;6;2,7;
2022-12-13;0800;0;1006,9;1007,465996;1006,9;1006,4;0;19;18,8;14,4;19,2;18,6;14,5;13,6;12,4;77;71;75;210;9,1;5,3;
2022-12-13;0900;0;1007,6;1008,166195;1007,7;1006,9;92,538;19;18,9;13,9;18,9;18,4;14,6;13,8;12,5;78;72;73;215;8,9;5,8;
2022-12-13;1000;0;1008,4;1008,965483;1008,4;1007,6;717,229;20;19,5;13,7;19,6;18,8;14,1;13,6;13,2;74;69;69;217;8,9;5,2;
2022-12-13;1100;0;1009,4;1009,964692;1009,4;1008,4;1545,993;21;20,2;13,2;20,7;19,5;14,2;12,8;14,3;71;62;64;220;8,9;4,6;
2022-12-13;1200;0;1009,9;1010,462288;1010;1009,4;2320,355;22;21,6;13,8;22,3;20,1;15,5;13,4;14,3;67;60;61;206;8,3;4,3;
2022-12-13;1300;0;1010,2;1010,760363;1010,2;1009,9;3008,316;23;22,7;12,3;23,3;21,3;14,9;12,3;14,3;64;52;52;208;9,1;5;
2022-12-13;1400;0;1010,5;1011,058264;1010,5;1010,1;3379,771;25;23,9;13,8;23,9;22,7;14,2;10,7;14,3;57;45;53;194;9,4;4,5;
2022-12-13;1500;0;1010,7;1011,257624;1010,8;1010,4;3877,333;25;24,3;14,8;24,7;22,7;14,9;11,6;14,3;57;47;55;177;9,3;5,5;
2022-12-13;1600;0;1010,8;1011,356369;1010,8;1010,6;3977,555;26;25;14,1;25,3;23,6;14,8;12,3;14,3;55;48;51;171;9,8;5,7;
2022-12-13;1700;0;1010,7;1011,257624;1010,9;1010,5;3857,272;26;24,3;12,8;25,2;23,7;14,4;11,8;14,3;53;47;49;153;10,1;5,8;
2022-12-13;1800;0;1010,8;1011,35843;1010,8;1010,5;3467,823;27;23,9;11;24,8;23,7;13,7;10,8;14,3;51;43;44;176;9,7;5,4;
2022-12-13;1900;0;1010,4;1010,958209;1010,8;1010,4;2886,373;27;23,9;12,4;24,7;23,6;13,7;11,1;14,3;51;44;48;170;9,1;4,9;
2022-12-13;2000;0;1010,3;1010,858907;1010,5;1010,2;2117,812;26;23,5;12,8;24,5;23,4;14,3;12,3;13,8;54;49;51;169;8,8;4,8;
2022-12-13;2100;0;1010,4;1010,959528;1010,4;1010,3;1233,336;26;23,2;13,3;23,8;23,2;14,1;12,5;13,4;56;51;54;159;7,6;3,8;
2022-12-13;2200;0;1011,1;1011,661432;1011,1;1010,4;474,077;25;22,4;13;23,3;22,4;13,7;12,5;13,1;56;51;55;146;7;3,1;
2022-12-13;2300;0;1011,7;1012,262717;1011,7;1011,1;27,409;24;21,9;13,2;22,4;21,9;14,1;13,1;12,6;61;55;58;140;6,3;2,9;
2022-12-14;0000;0;1011,9;1012,465127;1011,9;1011,7;0;23;20,7;14,2;21,9;20,6;14,3;13,1;12,6;67;58;67;99;5,1;3,2;
2022-12-14;0100;0;1012,5;1013,068559;1012,5;1011,9;0;21;19,1;14,3;20,7;19,1;14,4;14,2;12,5;74;67;74;84;5,4;2;
